Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,SDL2-CS\SDL2-CS.csproj,File,SDL2-CS\SDL2-CS.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SDL2-CS\SDL2-CS.csproj,File,SDL2-CS\SDL2-CS.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.0 Recommended target framework: net8.0"
